,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281
1,-2.277669551,-2.166666828,-3.451422433,-3.382414551,-3.244045952,-2.580250803,-4.138612268,-2.214383989,-1.167525906,-2.842459146,-4.345793223,-1.622663376,-2.461065703,-3.488294796,-4.470787134,-4.470787134,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-2.418348368,-3.08528241,-3.979570249,-3.634311461,-2.833695005,-1.787220046,9,75,1436,816,577,931,1348,984,437,757,56,576,667,754,793,793,1149,654,522,121,312,528,456,454,905,657,48,727,814,868,-1.726567257,-2.166666828,-3.451422433,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-2.214383989,-1.167525906,-2.020973782,-3.919886931,-1.622663376,-2.461065703,-2.111448645,-3.216079525,-2.3012431,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,1436,816,897,931,24,984,437,257,633,576,667,5,1288,906,1149,654,522,121,312,528,456,454,561,1495,841,727,814,868
2,-3.382358037,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-3.144467252,-1.37287223,-3.586577109,-2.218696223,-2.383915279,-1.837470279,-2.185928562,-2.068826356,-2.748252355,-1.564578851,-2.665701271,-2.922918724,-2.630398745,-2.703909589,-2.166343107,-2.422481024,-5.470209928,-2.546114326,-2.632914053,-2.552642023,-2.505702399,-2.073646978,-1.925582374,-6.430851774,-3.68181731,1499,1264,1276,919,1463,822,578,712,51,992,1245,88,949,749,527,103,46,322,1493,174,1282,911,400,596,350,1033,1334,0,1364,63,-1.726567257,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-2.547119373,-2.460220484,-2.703909589,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-2.833695005,-1.787220046,471,1264,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,1149,654,1493,121,312,528,456,454,561,1033,1334,0,814,868
3,-2.399363593,-1.505395294,-2.541779335,-5.173172912,-4.52082021,-2.664550546,-2.954290501,-2.976196142,-1.284082634,-3.657507088,-2.004604151,-2.924568119,-5.014799718,-2.509692193,-4.733663896,-3.122049631,-1.947962141,-2.38521955,-4.066660563,-1.046522188,-6.312871604,-2.914396274,-2.40942878,-2.528392066,-2.956042002,-3.877797257,-2.773608296,-3.89449011,-1.535929938,-4.140077836,54,330,69,1042,1474,669,937,638,579,1170,1306,907,1243,539,876,346,30,1349,726,525,1394,871,612,443,1411,415,902,918,240,1084,-1.726567257,-1.505395294,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-1.947962141,-2.38521955,-2.703909589,-1.046522188,-2.176781929,-2.914396274,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-1.535929938,-1.787220046,471,330,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,30,1349,1493,525,312,871,456,454,561,1033,1334,0,240,868
4,-2.700908612,-3.341805615,-3.620341535,-2.455150949,-2.420911509,-2.589785244,-2.767377611,-2.603177878,-1.181551785,-1.796450776,-1.605844428,-2.610309899,-2.47442965,-2.613039239,-1.77851523,-1.357485488,-2.527454603,-2.510524419,-2.93334756,-3.575126186,-3.983281265,-4.327013162,-0.841742081,-2.069326512,-1.222262661,-2.663973826,-1.615084971,-3.983281265,-2.000671363,-2.648067597,472,644,806,43,650,1217,1185,1109,439,162,1250,383,952,370,339,594,217,1117,1237,882,629,678,465,83,564,1154,151,629,245,307,-1.726567257,-1.505395294,-1.684741042,-2.455150949,-2.420911509,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.605844428,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-1.357485488,-1.947962141,-2.38521955,-2.703909589,-1.046522188,-2.176781929,-2.914396274,-0.841742081,-1.088269678,-1.222262661,-2.505702399,-1.615084971,-1.925582374,-1.535929938,-1.787220046,471,330,1276,43,650,931,578,984,437,162,1250,576,949,5,527,594,30,1349,1493,525,312,871,465,454,564,1033,151,0,240,868
5,-2.724778868,-2.741860035,-2.801451105,-3.599753905,-3.236064716,-3.265091036,-2.823488378,-4.066660563,-2.876824903,-3.471836996,-1.480099234,-3.900274185,-2.56459369,-2.000671363,-3.308759458,-2.047727013,-2.552841765,-2.842357466,-2.030277331,-2.679633741,-3.385648507,-3.418653701,-2.946238406,-2.0329023,-3.303979315,-1.68565406,-3.550645527,-2.724432769,-2.51480221,-1.783497524,547,423,22,1108,1116,811,282,726,435,102,1305,1029,955,245,810,990,610,1302,17,1345,1425,729,886,1221,562,1318,623,1414,244,429,-1.726567257,-1.505395294,-1.684741042,-2.455150949,-2.420911509,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.480099234,-1.622663376,-2.068826356,-2.000671363,-1.564578851,-1.357485488,-1.947962141,-2.38521955,-2.030277331,-1.046522188,-2.176781929,-2.914396274,-0.841742081,-1.088269678,-1.222262661,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,471,330,1276,43,650,931,578,984,437,162,1305,576,949,245,527,594,30,1349,17,525,312,871,465,454,564,1318,151,0,240,429
6,-0.841742081,-3.247111268,-2.526506837,-4.207838315,-2.703909589,-2.40942878,-4.048592401,-2.876824903,-3.850665662,-5.559679346,-1.701566735,-3.831996349,-4.343362069,-2.842459146,-2.790665403,-1.817136419,-5.425945389,-2.795202789,-3.289906505,-2.757187326,-2.548995359,-2.57558601,-2.743627325,-1.783497524,-1.710815227,-3.039156457,-3.097100348,-2.916522658,-1.601388487,-3.453945665,465,1395,817,1166,1493,612,430,435,445,521,1246,653,956,757,1405,1265,1370,253,1191,392,232,1432,1412,429,501,1087,1244,163,90,1438,-0.841742081,-1.505395294,-1.684741042,-2.455150949,-2.420911509,-2.40942878,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.480099234,-1.622663376,-2.068826356,-2.000671363,-1.564578851,-1.357485488,-1.947962141,-2.38521955,-2.030277331,-1.046522188,-2.176781929,-2.57558601,-0.841742081,-1.088269678,-1.222262661,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,465,330,1276,43,650,612,578,984,437,162,1305,576,949,245,527,594,30,1349,17,525,312,1432,465,454,564,1318,151,0,240,429
7,-3.244045952,-1.187246356,-3.692037081,-3.844734395,-3.06197083,-2.734908155,-2.907960368,-4.944765107,-3.588685285,-2.256578762,-1.886599139,-3.812731421,-2.762618006,-2.525650998,-3.490114269,-2.470431414,-2.456939442,-1.786808188,-2.516285495,-2.161239156,-2.911407425,-2.743145449,-2.849275715,-2.535335757,-1.622663376,-4.188291275,-2.46151054,-2.848999539,-2.011195368,-3.218611415,577,511,104,89,1060,820,14,438,295,414,1201,861,412,601,87,64,982,319,647,328,666,1023,772,70,576,348,604,1119,170,1419,-0.841742081,-1.187246356,-1.684741042,-2.455150949,-2.420911509,-2.40942878,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.480099234,-1.622663376,-2.068826356,-2.000671363,-1.564578851,-1.357485488,-1.947962141,-1.786808188,-2.030277331,-1.046522188,-2.176781929,-2.57558601,-0.841742081,-1.088269678,-1.222262661,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,465,511,1276,43,650,612,578,984,437,162,1305,576,949,245,527,594,30,319,17,525,312,1432,465,454,564,1318,151,0,240,429
8,-1.1170055,-4.928737033,-2.349125574,-4.133188915,-2.824165562,-5.370212869,-2.747132694,-3.793326954,-3.259139501,-2.013458888,-1.792284032,-2.886803707,-2.116158923,-2.901717628,-2.46637281,-1.883911961,-2.296886136,-1.380740308,-2.170121994,-3.303327998,-2.560852854,-2.04968799,-2.208490575,-2.494206912,-1.394284432,-3.216079525,-2.740149933,-5.232848053,-1.819360106,-2.947903475,466,776,293,1467,267,941,873,74,884,118,1311,938,947,607,1270,591,58,331,411,498,354,1320,214,205,593,1288,1158,1350,96,1208,-0.841742081,-1.187246356,-1.684741042,-2.455150949,-2.420911509,-2.40942878,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.480099234,-1.622663376,-2.068826356,-2.000671363,-1.564578851,-1.357485488,-1.947962141,-1.380740308,-2.030277331,-1.046522188,-2.176781929,-2.04968799,-0.841742081,-1.088269678,-1.222262661,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,465,511,1276,43,650,612,578,984,437,162,1305,576,949,245,527,594,30,331,17,525,312,1320,465,454,564,1318,151,0,240,429
9,-1.189243716,-2.001149314,-2.835437429,-2.767377611,-4.944765107,-2.373921283,-2.097782719,-3.444888819,-2.390336985,-2.240566925,-3.572207975,-2.687783461,-2.89282572,-2.773608296,-2.833695005,-3.542412107,-3.153128536,-2.886431342,-2.022006337,-3.215335703,-1.802059269,-2.753578723,-5.087691667,-2.676821107,-2.463131488,-4.138612268,-3.520094486,-2.127573991,-2.45032114,-2.976477295,467,336,1396,1185,438,1266,1292,1151,615,460,1303,276,957,902,814,1312,1062,178,544,745,1239,364,1052,349,80,1348,57,946,111,804,-0.841742081,-1.187246356,-1.684741042,-2.455150949,-2.420911509,-2.373921283,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.480099234,-1.622663376,-2.068826356,-2.000671363,-1.564578851,-1.357485488,-1.947962141,-1.380740308,-2.022006337,-1.046522188,-1.802059269,-2.04968799,-0.841742081,-1.088269678,-1.222262661,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,465,511,1276,43,650,1266,578,984,437,162,1305,576,949,245,527,594,30,331,544,525,1239,1320,465,454,564,1318,151,0,240,429
