expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
1,1,1,1,165.87,2223.37,-5.7906,10.329,95,18.4,16.4,10.2,-1.925582374
2,2,1,1,166.8903697,2218.319819,-10.6026,10.329,95,18.4,16.4,10.2,-1.731871048
3,3,1,1,172.5642436,2217.825997,-8.6556,10.329,95,18.4,16.4,10.2,-1.746519561
4,4,1,1,211.3485433,2210.78491,-35.7969,10.329,95,18.4,16.4,10.2,-3.900781694
5,5,1,1,174.6629756,2218.794147,-5.7884,10.329,95,18.4,16.4,10.2,-1.857846356
6,6,1,1,166.26,2224.63,-9.8472,10.329,95,18.4,16.4,10.2,-2.111448645
7,7,1,1,165.4550225,2228.284751,-7.6658,10.329,95,18.4,16.4,10.2,-2.6345202
8,8,1,1,184.5942422,2234.942905,-10.0173,10.329,95,18.4,16.4,10.2,-2.839076191
9,9,1,1,172.55,2232.06,-76.7384,10.329,95,18.4,16.4,10.2,-2.994362035
10,10,1,1,165.5,2225.59,-10.3996,10.329,95,18.4,16.4,10.2,-2.277669551
11,11,1,1,174.3600174,2210.257593,8.0093,10.329,95,18.4,16.4,10.2,-2.481611614
12,12,1,1,185.3,2206.2,66.1445,10.329,95,18.4,16.4,10.2,-4.231319635
13,13,1,1,171.3953578,2213.980043,-29.2681,10.329,95,18.4,16.4,10.2,-1.955791447
14,14,1,1,120.02,2219.32,-63.3,10.329,95,18.4,16.4,10.2,-2.470260755
15,15,1,1,165.353392,2215.967354,-19.1672,10.329,95,18.4,16.4,10.2,-2.907960368
16,1,2,1,165.87,2223.37,-5.7906,6.351,95,18.4,16.4,10.2,-2.21183219
17,2,2,1,166.8903697,2218.319819,-10.6026,6.351,95,18.4,16.4,10.2,-2.033941085
18,3,2,1,172.5642436,2217.825997,-8.6556,6.351,95,18.4,16.4,10.2,-2.030277331
19,4,2,1,211.3485433,2210.78491,-35.7969,6.351,95,18.4,16.4,10.2,-3.906686838
20,5,2,1,174.6629756,2218.794147,-5.7884,6.351,95,18.4,16.4,10.2,-2.111822285
21,6,2,1,166.26,2224.63,-9.8472,6.351,95,18.4,16.4,10.2,-2.229734578
22,7,2,1,165.4550225,2228.284751,-7.6658,6.351,95,18.4,16.4,10.2,-2.68515856
23,8,2,1,184.5942422,2234.942905,-10.0173,6.351,95,18.4,16.4,10.2,-2.801451105
24,9,2,1,172.55,2232.06,-76.7384,6.351,95,18.4,16.4,10.2,-3.565394457
25,10,2,1,165.5,2225.59,-10.3996,6.351,95,18.4,16.4,10.2,-2.359948494
26,11,2,1,174.3600174,2210.257593,8.0093,6.351,95,18.4,16.4,10.2,-2.599856279
27,12,2,1,185.3,2206.2,66.1445,6.351,95,18.4,16.4,10.2,-4.172677827
28,13,2,1,171.3953578,2213.980043,-29.2681,6.351,95,18.4,16.4,10.2,-1.94828066
29,14,2,1,120.02,2219.32,-63.3,6.351,95,18.4,16.4,10.2,-2.51445369
30,15,2,1,165.353392,2215.967354,-19.1672,6.351,95,18.4,16.4,10.2,-3.156241701
31,1,3,1,165.87,2223.37,-5.7906,13.997,95,18.4,16.4,10.2,-1.947962141
32,2,3,1,166.8903697,2218.319819,-10.6026,13.997,95,18.4,16.4,10.2,-1.638313749
33,3,3,1,172.5642436,2217.825997,-8.6556,13.997,95,18.4,16.4,10.2,-1.641187797
34,4,3,1,211.3485433,2210.78491,-35.7969,13.997,95,18.4,16.4,10.2,-3.781403827
35,5,3,1,174.6629756,2218.794147,-5.7884,13.997,95,18.4,16.4,10.2,-1.763972227
36,6,3,1,166.26,2224.63,-9.8472,13.997,95,18.4,16.4,10.2,-2.192251311
37,7,3,1,165.4550225,2228.284751,-7.6658,13.997,95,18.4,16.4,10.2,-2.734551582
38,8,3,1,184.5942422,2234.942905,-10.0173,13.997,95,18.4,16.4,10.2,-2.882539873
39,9,3,1,172.55,2232.06,-76.7384,13.997,95,18.4,16.4,10.2,-2.333847037
40,10,3,1,165.5,2225.59,-10.3996,13.997,95,18.4,16.4,10.2,-2.377005665
41,11,3,1,174.3600174,2210.257593,8.0093,13.997,95,18.4,16.4,10.2,-2.404282945
42,12,3,1,185.3,2206.2,66.1445,13.997,95,18.4,16.4,10.2,-4.13914027
43,13,3,1,171.3953578,2213.980043,-29.2681,13.997,95,18.4,16.4,10.2,-2.038833154
44,14,3,1,120.02,2219.32,-63.3,13.997,95,18.4,16.4,10.2,-2.455150949
45,15,3,1,165.353392,2215.967354,-19.1672,13.997,95,18.4,16.4,10.2,-2.698205205
46,1,4,1,165.87,2223.37,-5.7906,10.329,133,18.4,16.4,10.2,-2.030039708
47,2,4,1,166.8903697,2218.319819,-10.6026,10.329,133,18.4,16.4,10.2,-2.922918724
48,3,4,1,172.5642436,2217.825997,-8.6556,10.329,133,18.4,16.4,10.2,-2.88320125
49,4,4,1,211.3485433,2210.78491,-35.7969,10.329,133,18.4,16.4,10.2,-3.979570249
