expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
1,1,1,1,165.87,2223.37,-5.7906,10.329,95,18.4,16.4,10.2,
2,2,1,1,166.8903697,2218.319819,-10.6026,10.329,95,18.4,16.4,10.2,
3,3,1,1,172.5642436,2217.825997,-8.6556,10.329,95,18.4,16.4,10.2,
4,4,1,1,211.3485433,2210.78491,-35.7969,10.329,95,18.4,16.4,10.2,
5,5,1,1,174.6629756,2218.794147,-5.7884,10.329,95,18.4,16.4,10.2,
6,6,1,1,166.26,2224.63,-9.8472,10.329,95,18.4,16.4,10.2,
7,7,1,1,165.4550225,2228.284751,-7.6658,10.329,95,18.4,16.4,10.2,
8,8,1,1,184.5942422,2234.942905,-10.0173,10.329,95,18.4,16.4,10.2,
9,9,1,1,172.55,2232.06,-76.7384,10.329,95,18.4,16.4,10.2,
10,10,1,1,165.5,2225.59,-10.3996,10.329,95,18.4,16.4,10.2,
11,11,1,1,174.3600174,2210.257593,8.0093,10.329,95,18.4,16.4,10.2,
12,12,1,1,185.3,2206.2,66.1445,10.329,95,18.4,16.4,10.2,
13,13,1,1,171.3953578,2213.980043,-29.2681,10.329,95,18.4,16.4,10.2,
14,14,1,1,120.02,2219.32,-63.3,10.329,95,18.4,16.4,10.2,
15,15,1,1,165.353392,2215.967354,-19.1672,10.329,95,18.4,16.4,10.2,
16,1,2,1,165.87,2223.37,-5.7906,6.351,95,18.4,16.4,10.2,-2.2118321904773235
17,2,2,1,166.8903697,2218.319819,-10.6026,6.351,95,18.4,16.4,10.2,
18,3,2,1,172.5642436,2217.825997,-8.6556,6.351,95,18.4,16.4,10.2,
19,4,2,1,211.3485433,2210.78491,-35.7969,6.351,95,18.4,16.4,10.2,
20,5,2,1,174.6629756,2218.794147,-5.7884,6.351,95,18.4,16.4,10.2,
21,6,2,1,166.26,2224.63,-9.8472,6.351,95,18.4,16.4,10.2,
22,7,2,1,165.4550225,2228.284751,-7.6658,6.351,95,18.4,16.4,10.2,
23,8,2,1,184.5942422,2234.942905,-10.0173,6.351,95,18.4,16.4,10.2,
24,9,2,1,172.55,2232.06,-76.7384,6.351,95,18.4,16.4,10.2,
25,10,2,1,165.5,2225.59,-10.3996,6.351,95,18.4,16.4,10.2,
26,11,2,1,174.3600174,2210.257593,8.0093,6.351,95,18.4,16.4,10.2,
27,12,2,1,185.3,2206.2,66.1445,6.351,95,18.4,16.4,10.2,
28,13,2,1,171.3953578,2213.980043,-29.2681,6.351,95,18.4,16.4,10.2,
29,14,2,1,120.02,2219.32,-63.3,6.351,95,18.4,16.4,10.2,
30,15,2,1,165.353392,2215.967354,-19.1672,6.351,95,18.4,16.4,10.2,
31,1,3,1,165.87,2223.37,-5.7906,13.997,95,18.4,16.4,10.2,
32,2,3,1,166.8903697,2218.319819,-10.6026,13.997,95,18.4,16.4,10.2,
33,3,3,1,172.5642436,2217.825997,-8.6556,13.997,95,18.4,16.4,10.2,
34,4,3,1,211.3485433,2210.78491,-35.7969,13.997,95,18.4,16.4,10.2,
35,5,3,1,174.6629756,2218.794147,-5.7884,13.997,95,18.4,16.4,10.2,
36,6,3,1,166.26,2224.63,-9.8472,13.997,95,18.4,16.4,10.2,
37,7,3,1,165.4550225,2228.284751,-7.6658,13.997,95,18.4,16.4,10.2,
38,8,3,1,184.5942422,2234.942905,-10.0173,13.997,95,18.4,16.4,10.2,
39,9,3,1,172.55,2232.06,-76.7384,13.997,95,18.4,16.4,10.2,
40,10,3,1,165.5,2225.59,-10.3996,13.997,95,18.4,16.4,10.2,
41,11,3,1,174.3600174,2210.257593,8.0093,13.997,95,18.4,16.4,10.2,
42,12,3,1,185.3,2206.2,66.1445,13.997,95,18.4,16.4,10.2,
43,13,3,1,171.3953578,2213.980043,-29.2681,13.997,95,18.4,16.4,10.2,
44,14,3,1,120.02,2219.32,-63.3,13.997,95,18.4,16.4,10.2,
45,15,3,1,165.353392,2215.967354,-19.1672,13.997,95,18.4,16.4,10.2,
46,1,4,1,165.87,2223.37,-5.7906,10.329,133,18.4,16.4,10.2,
47,2,4,1,166.8903697,2218.319819,-10.6026,10.329,133,18.4,16.4,10.2,
48,3,4,1,172.5642436,2217.825997,-8.6556,10.329,133,18.4,16.4,10.2,
49,4,4,1,211.3485433,2210.78491,-35.7969,10.329,133,18.4,16.4,10.2,
50,5,4,1,174.6629756,2218.794147,-5.7884,10.329,133,18.4,16.4,10.2,-2.5419967639865653
51,6,4,1,166.26,2224.63,-9.8472,10.329,133,18.4,16.4,10.2,
52,7,4,1,165.4550225,2228.284751,-7.6658,10.329,133,18.4,16.4,10.2,
53,8,4,1,184.5942422,2234.942905,-10.0173,10.329,133,18.4,16.4,10.2,
54,9,4,1,172.55,2232.06,-76.7384,10.329,133,18.4,16.4,10.2,
55,10,4,1,165.5,2225.59,-10.3996,10.329,133,18.4,16.4,10.2,
56,11,4,1,174.3600174,2210.257593,8.0093,10.329,133,18.4,16.4,10.2,
57,12,4,1,185.3,2206.2,66.1445,10.329,133,18.4,16.4,10.2,
58,13,4,1,171.3953578,2213.980043,-29.2681,10.329,133,18.4,16.4,10.2,
59,14,4,1,120.02,2219.32,-63.3,10.329,133,18.4,16.4,10.2,
60,15,4,1,165.353392,2215.967354,-19.1672,10.329,133,18.4,16.4,10.2,
61,1,5,1,165.87,2223.37,-5.7906,13.997,133,18.4,16.4,10.2,
62,2,5,1,166.8903697,2218.319819,-10.6026,13.997,133,18.4,16.4,10.2,
63,3,5,1,172.5642436,2217.825997,-8.6556,13.997,133,18.4,16.4,10.2,
64,4,5,1,211.3485433,2210.78491,-35.7969,13.997,133,18.4,16.4,10.2,
65,5,5,1,174.6629756,2218.794147,-5.7884,13.997,133,18.4,16.4,10.2,
66,6,5,1,166.26,2224.63,-9.8472,13.997,133,18.4,16.4,10.2,
67,7,5,1,165.4550225,2228.284751,-7.6658,13.997,133,18.4,16.4,10.2,
68,8,5,1,184.5942422,2234.942905,-10.0173,13.997,133,18.4,16.4,10.2,
69,9,5,1,172.55,2232.06,-76.7384,13.997,133,18.4,16.4,10.2,
70,10,5,1,165.5,2225.59,-10.3996,13.997,133,18.4,16.4,10.2,
71,11,5,1,174.3600174,2210.257593,8.0093,13.997,133,18.4,16.4,10.2,
72,12,5,1,185.3,2206.2,66.1445,13.997,133,18.4,16.4,10.2,
73,13,5,1,171.3953578,2213.980043,-29.2681,13.997,133,18.4,16.4,10.2,
74,14,5,1,120.02,2219.32,-63.3,13.997,133,18.4,16.4,10.2,
75,15,5,1,165.353392,2215.967354,-19.1672,13.997,133,18.4,16.4,10.2,
76,1,6,1,165.87,2223.37,-5.7906,12.375,133,18.4,16.4,10.2,
77,2,6,1,166.8903697,2218.319819,-10.6026,12.375,133,18.4,16.4,10.2,
78,3,6,1,172.5642436,2217.825997,-8.6556,12.375,133,18.4,16.4,10.2,
79,4,6,1,211.3485433,2210.78491,-35.7969,12.375,133,18.4,16.4,10.2,
80,5,6,1,174.6629756,2218.794147,-5.7884,12.375,133,18.4,16.4,10.2,
81,6,6,1,166.26,2224.63,-9.8472,12.375,133,18.4,16.4,10.2,
82,7,6,1,165.4550225,2228.284751,-7.6658,12.375,133,18.4,16.4,10.2,
83,8,6,1,184.5942422,2234.942905,-10.0173,12.375,133,18.4,16.4,10.2,
84,9,6,1,172.55,2232.06,-76.7384,12.375,133,18.4,16.4,10.2,
85,10,6,1,165.5,2225.59,-10.3996,12.375,133,18.4,16.4,10.2,
86,11,6,1,174.3600174,2210.257593,8.0093,12.375,133,18.4,16.4,10.2,
87,12,6,1,185.3,2206.2,66.1445,12.375,133,18.4,16.4,10.2,
88,13,6,1,171.3953578,2213.980043,-29.2681,12.375,133,18.4,16.4,10.2,
89,14,6,1,120.02,2219.32,-63.3,12.375,133,18.4,16.4,10.2,
90,15,6,1,165.353392,2215.967354,-19.1672,12.375,133,18.4,16.4,10.2,
91,1,7,1,165.87,2223.37,-5.7906,4.756,133,18.4,16.4,10.2,
92,2,7,1,166.8903697,2218.319819,-10.6026,4.756,133,18.4,16.4,10.2,
93,3,7,1,172.5642436,2217.825997,-8.6556,4.756,133,18.4,16.4,10.2,
94,4,7,1,211.3485433,2210.78491,-35.7969,4.756,133,18.4,16.4,10.2,
95,5,7,1,174.6629756,2218.794147,-5.7884,4.756,133,18.4,16.4,10.2,
