,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281
1,-2.277669551,-2.166666828,-3.451422433,-3.382414551,-3.244045952,-2.580250803,-4.138612268,-2.214383989,-1.167525906,-2.842459146,-4.345793223,-1.622663376,-2.461065703,-3.488294796,-4.470787134,-4.470787134,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-2.418348368,-3.08528241,-3.979570249,-3.634311461,-2.833695005,-1.787220046,9,75,1436,816,577,931,1348,984,437,757,56,576,667,754,793,793,1149,654,522,121,312,528,456,454,905,657,48,727,814,868,-1.726567257,-2.166666828,-3.451422433,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-2.214383989,-1.167525906,-2.020973782,-3.919886931,-1.622663376,-2.461065703,-2.111448645,-3.216079525,-2.3012431,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,1436,816,897,931,24,984,437,257,633,576,667,5,1288,906,1149,654,522,121,312,528,456,454,561,1495,841,727,814,868
2,-2.591049916,-2.474971585,-1.568724126,-2.111822285,-2.202169906,-2.317341507,-4.115194023,-1.187106789,-2.417517324,-3.094759819,-2.246285609,-3.040961603,-1.900505481,-0.999221865,-2.941706895,-3.067646035,-2.392939783,-2.507583311,-2.902607557,-1.357485488,-3.740082908,-4.017152755,-2.121215469,-2.741603734,-3.444888819,-2.725151732,-1.984852654,-4.188291275,-1.94828066,-2.521570215,1100,1333,585,19,230,664,374,575,433,617,1274,1372,1275,420,619,446,649,1463,622,594,848,326,388,1473,1151,1409,1299,348,27,680,-1.726567257,-2.166666828,-1.568724126,-2.111822285,-2.202169906,-2.317341507,-2.359948494,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.941706895,-2.3012431,-2.392939783,-2.460220484,-2.772386532,-1.357485488,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.984852654,-3.634311461,-1.94828066,-1.787220046,471,75,585,19,230,664,24,575,437,257,1274,576,1275,420,619,906,649,654,522,594,312,528,456,454,561,1409,1299,727,27,868
3,-2.824165562,-3.154588477,-3.4400599,-4.027628851,-3.637082985,-3.157065491,-1.616595903,-3.161313431,-3.099055135,-2.858538289,-2.255705389,-1.786808188,-2.777985809,-5.488014606,-2.824165562,-2.770369228,-2.767833671,-2.180034682,-2.741057018,-2.852517706,-3.62788668,-2.88320125,-2.440809913,-2.889341968,-4.717483959,-3.657507088,-2.799092618,-3.985148377,-1.778137204,-2.741215735,267,916,1032,298,592,917,572,277,1298,734,223,319,1035,1385,267,1034,1137,436,835,1160,782,47,208,365,1342,1170,1442,1016,1209,625,-1.726567257,-2.166666828,-1.568724126,-2.111822285,-2.202169906,-2.317341507,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.824165562,-2.3012431,-2.392939783,-2.180034682,-2.741057018,-1.357485488,-2.176781929,-2.88320125,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.984852654,-3.634311461,-1.778137204,-1.787220046,471,75,585,19,230,664,572,575,437,257,1274,576,1275,420,267,906,649,436,835,594,312,47,456,454,561,1409,1299,727,1209,868
4,-3.228409924,-3.031932129,-1.747925515,-4.468609951,-2.904395947,-3.258595475,-2.844166856,-2.775082279,-1.181551785,-3.602881199,-3.334155585,-3.919886931,-2.223924472,-1.392533274,-2.914396274,-2.87314274,-4.24977037,-1.516234836,-4.33895366,-3.837176873,-1.998070579,-1.284082634,-2.208490575,-2.763596077,-3.029416933,-3.176916891,-2.19725121,-2.166666828,-1.59363565,-4.264387083,722,795,1284,393,775,376,1190,925,439,387,361,633,1240,425,871,1156,1386,587,748,1248,268,579,214,597,771,431,1296,75,1205,898,-1.726567257,-2.166666828,-1.568724126,-2.111822285,-2.202169906,-2.317341507,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.900505481,-0.999221865,-2.824165562,-2.3012431,-2.392939783,-1.516234836,-2.741057018,-1.357485488,-1.998070579,-1.284082634,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.984852654,-2.166666828,-1.59363565,-1.787220046,471,75,585,19,230,664,572,575,437,257,1274,576,1275,420,267,906,649,587,835,594,268,579,456,454,561,1409,1299,75,1205,868
5,-3.496322764,-3.428092916,-3.154225439,-3.225132199,-2.619119872,-1.231739613,-2.549071369,-1.63865022,-2.107096771,-2.176960712,-4.187381748,-2.202169906,-1.44737099,-1.461251753,-2.852517706,-3.094759819,-3.706418836,-2.176781929,-1.181551785,-3.674122731,-2.503109312,-2.289784798,-3.4402566,-3.928848197,-3.256050208,-2.837644671,-2.49077362,-3.958370157,-1.256194873,-3.513098796,862,824,128,1332,368,570,381,335,449,275,794,230,1336,421,1160,617,874,312,439,1106,325,695,1410,853,789,242,1326,148,1200,808,-1.726567257,-2.166666828,-1.568724126,-2.111822285,-2.202169906,-1.231739613,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.622663376,-1.44737099,-0.999221865,-2.824165562,-2.3012431,-2.392939783,-1.516234836,-1.181551785,-1.357485488,-1.998070579,-1.284082634,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.984852654,-2.166666828,-1.256194873,-1.787220046,471,75,585,19,230,570,572,575,437,257,1274,576,1336,420,267,906,649,587,439,594,268,579,456,454,561,1409,1299,75,1200,868
6,-4.168749202,-3.070704504,-4.241788418,-2.251767164,-2.389648424,-4.623459144,-3.958370157,-2.187642117,-2.180034682,-2.753578723,-2.394477238,-1.601388487,-2.657518291,-2.02872596,-3.966228754,-3.02775905,-1.743534192,-3.659548553,-2.538317198,-3.869028438,-5.139345596,-3.740082908,-2.801451105,-1.990355304,-1.710815227,-2.770369228,-1.847514045,-2.62890437,-1.886599139,-3.622869759,1356,116,833,234,740,648,148,582,436,364,344,90,966,426,1157,616,289,1464,55,1012,693,848,22,541,501,1034,1295,989,1201,963,-1.726567257,-2.166666828,-1.568724126,-2.111822285,-2.202169906,-1.231739613,-1.616595903,-1.187106789,-1.167525906,-2.020973782,-2.246285609,-1.601388487,-1.44737099,-0.999221865,-2.824165562,-2.3012431,-1.743534192,-1.516234836,-1.181551785,-1.357485488,-1.998070579,-1.284082634,-2.014074416,-1.088269678,-1.22923196,-2.725151732,-1.847514045,-2.166666828,-1.256194873,-1.787220046,471,75,585,19,230,570,572,575,437,257,1274,90,1336,420,267,906,289,587,439,594,268,579,456,454,561,1409,1295,75,1200,868
7,-2.587857736,-3.822274116,-2.994362035,-2.543438111,-3.324820851,-3.38735094,-1.689437584,-0.769774267,-2.876824903,-2.507959557,-3.468889322,-1.665460845,-2.821455457,-1.579009794,-3.520094486,-1.543835604,-2.820921453,-3.789801414,-2.001149314,-3.578010943,-2.491812073,-2.914396274,-3.896984679,-1.294784667,-1.222262661,-3.101171397,-1.849239551,-3.161313431,-1.837470279,-3.645136075,241,715,8,134,1413,179,137,560,435,314,859,559,799,120,57,181,1152,1398,336,428,1096,871,448,455,564,702,1290,277,1245,1172,-1.726567257,-2.166666828,-1.568724126,-2.111822285,-2.202169906,-1.231739613,-1.616595903,-0.769774267,-1.167525906,-2.020973782,-2.246285609,-1.601388487,-1.44737099,-0.999221865,-2.824165562,-1.543835604,-1.743534192,-1.516234836,-1.181551785,-1.357485488,-1.998070579,-1.284082634,-2.014074416,-1.088269678,-1.222262661,-2.725151732,-1.847514045,-2.166666828,-1.256194873,-1.787220046,471,75,585,19,230,570,572,560,437,257,1274,90,1336,420,267,181,289,587,439,594,268,579,456,454,564,1409,1295,75,1200,868
8,-2.448246101,-3.743082542,-3.154588477,-1.925582374,-4.121132964,-2.73396282,-3.285126678,-2.56033381,-3.276723004,-2.907701583,-2.311040819,-1.231739613,-2.741860035,-1.51427274,-3.191711162,-1.474898988,-3.539896464,-2.69141385,-3.850665662,-2.765788473,-2.277669551,-2.946451429,-3.706490344,-1.474898988,-0.769774267,-5.239655232,-1.936246539,-2.491578546,-2.525650998,-2.679633741,932,1053,916,0,1418,1047,1058,352,1484,595,699,570,423,390,825,182,1383,1135,445,1437,9,76,464,182,560,1094,1291,84,601,1345,-1.726567257,-2.166666828,-1.568724126,-1.925582374,-2.202169906,-1.231739613,-1.616595903,-0.769774267,-1.167525906,-2.020973782,-2.246285609,-1.231739613,-1.44737099,-0.999221865,-2.824165562,-1.474898988,-1.743534192,-1.516234836,-1.181551785,-1.357485488,-1.998070579,-1.284082634,-2.014074416,-1.088269678,-0.769774267,-2.725151732,-1.847514045,-2.166666828,-1.256194873,-1.787220046,471,75,585,0,230,570,572,560,437,257,1274,570,1336,420,267,182,289,587,439,594,268,579,456,454,560,1409,1295,75,1200,868
9,-1.610369486,-1.528768803,-2.687783461,-2.21183219,-2.724778868,-3.588111235,-3.107991451,-3.771937253,-2.87314274,-3.712583133,-3.159804004,-1.289710849,-2.628101855,-1.476658334,-2.515236435,-1.562430004,-2.536953555,-2.554072676,-4.689504857,-3.404923683,-1.724294374,-3.228670362,-1.190036935,-2.946238406,-1.035634773,-3.291197629,-2.097782719,-3.08528241,-1.980720883,-4.027623555,309,488,276,15,547,1392,1446,1080,1156,1136,1193,571,391,424,832,184,85,847,442,1471,324,1358,482,886,555,1073,1292,657,1204,1098,-1.610369486,-1.528768803,-1.568724126,-1.925582374,-2.202169906,-1.231739613,-1.616595903,-0.769774267,-1.167525906,-2.020973782,-2.246285609,-1.231739613,-1.44737099,-0.999221865,-2.515236435,-1.474898988,-1.743534192,-1.516234836,-1.181551785,-1.357485488,-1.724294374,-1.284082634,-1.190036935,-1.088269678,-0.769774267,-2.725151732,-1.847514045,-2.166666828,-1.256194873,-1.787220046,309,488,585,0,230,570,572,560,437,257,1274,570,1336,420,832,182,289,587,439,594,324,579,482,454,560,1409,1295,75,1200,868
