,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281
1,-2.277669551,-2.166666828,-3.451422433,-3.382414551,-3.244045952,-2.580250803,-4.138612268,-2.214383989,-1.167525906,-2.842459146,-4.345793223,-1.622663376,-2.461065703,-3.488294796,-4.470787134,-4.470787134,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-2.418348368,-3.08528241,-3.979570249,-3.634311461,-2.833695005,-1.787220046,9,75,1436,816,577,931,1348,984,437,757,56,576,667,754,793,793,1149,654,522,121,312,528,456,454,905,657,48,727,814,868,-1.726567257,-2.166666828,-3.451422433,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-2.214383989,-1.167525906,-2.020973782,-3.919886931,-1.622663376,-2.461065703,-2.111448645,-3.216079525,-2.3012431,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,1436,816,897,931,24,984,437,257,633,576,667,5,1288,906,1149,654,522,121,312,528,456,454,561,1495,841,727,814,868
2,-3.382358037,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-3.144467252,-1.37287223,-3.586577109,-2.218696223,-2.383915279,-1.837470279,-2.185928562,-2.068826356,-2.748252355,-1.564578851,-2.665701271,-2.922918724,-2.630398745,-2.703909589,-2.166343107,-2.422481024,-5.470209928,-2.546114326,-2.632914053,-2.552642023,-2.505702399,-2.073646978,-1.925582374,-6.430851774,-3.68181731,1499,1264,1276,919,1463,822,578,712,51,992,1245,88,949,749,527,103,46,322,1493,174,1282,911,400,596,350,1033,1334,0,1364,63,-1.726567257,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-2.547119373,-2.460220484,-2.703909589,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-2.833695005,-1.787220046,471,1264,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,1149,654,1493,121,312,528,456,454,561,1033,1334,0,814,868
3,-2.399363593,-1.505395294,-2.541779335,-5.173172912,-4.52082021,-2.664550546,-2.954290501,-2.976196142,-1.284082634,-3.657507088,-2.004604151,-2.924568119,-5.014799718,-2.509692193,-4.733663896,-3.122049631,-1.947962141,-2.38521955,-4.066660563,-1.046522188,-6.312871604,-2.914396274,-2.40942878,-2.528392066,-2.956042002,-3.877797257,-2.773608296,-3.89449011,-1.535929938,-4.140077836,54,330,69,1042,1474,669,937,638,579,1170,1306,907,1243,539,876,346,30,1349,726,525,1394,871,612,443,1411,415,902,918,240,1084,-1.726567257,-1.505395294,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-1.947962141,-2.38521955,-2.703909589,-1.046522188,-2.176781929,-2.914396274,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-1.535929938,-1.787220046,471,330,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,30,1349,1493,525,312,871,456,454,561,1033,1334,0,240,868
4,-3.717613894,-3.469260978,-5.495196515,-2.70519365,-1.977146038,-2.62890437,-6.225274203,-1.559499845,-3.161313431,-2.352872931,-4.776176741,-2.544751815,-3.970421348,-6.213538145,-1.292139175,-2.25623231,-1.613667382,-3.336911861,-2.111822285,-3.823515984,-2.685182584,-0.841742081,-1.1170055,-3.453945665,-2.824165562,-2.229734578,-2.81245006,-4.928737033,-4.384478214,-2.097645677,318,543,1492,1287,155,989,1382,1310,277,996,1376,985,1469,1379,503,632,106,1478,19,265,143,465,466,1438,267,20,1450,776,764,1294,-1.726567257,-1.505395294,-1.684741042,-2.70519365,-1.977146038,-2.580250803,-1.37287223,-1.559499845,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.292139175,-2.25623231,-1.613667382,-2.38521955,-2.111822285,-1.046522188,-2.176781929,-0.841742081,-1.1170055,-1.088269678,-1.22923196,-2.229734578,-2.073646978,-1.925582374,-1.535929938,-1.787220046,471,330,1276,1287,155,931,578,1310,437,257,1245,576,949,5,503,632,106,1349,19,525,312,465,466,454,561,20,1334,0,240,868
5,-4.063243392,-2.392939783,-1.137756195,-2.510483771,-2.968339736,-2.548995359,-3.692037081,-3.225132199,-2.413493094,-5.495196515,-2.946238406,-4.350880813,-2.192251311,-3.228670362,-2.894370459,-2.657395012,-5.370212869,-1.320539874,-1.187246356,-3.067646035,-5.185978055,-2.924568119,-3.408830233,-2.529124587,-2.741039247,-2.747599908,-2.0329023,-2.586826062,-2.69281526,-5.278870283,888,649,469,250,800,232,104,1332,1163,1492,886,1378,35,1358,1005,959,941,477,511,446,1374,907,1455,580,273,805,1221,523,296,1389,-1.726567257,-1.505395294,-1.137756195,-2.510483771,-1.977146038,-2.548995359,-1.37287223,-1.559499845,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.292139175,-2.25623231,-1.613667382,-1.320539874,-1.187246356,-1.046522188,-2.176781929,-0.841742081,-1.1170055,-1.088269678,-1.22923196,-2.229734578,-2.0329023,-1.925582374,-1.535929938,-1.787220046,471,330,469,250,155,232,578,1310,437,257,1245,576,949,5,503,632,106,477,511,525,312,465,466,454,561,20,1221,0,240,868
6,-2.596470868,-2.515236435,-1.320539874,-3.960702016,-1.822402492,-2.345607413,-2.281239514,-1.446164794,-3.468135142,-2.629511135,-2.570903617,-3.985148377,-3.848133088,-2.242318339,-5.185978055,-2.375419448,-1.977146038,-2.510524419,-2.306266922,-2.920877952,-1.407986066,-2.46637281,-2.835773903,-3.419729229,-2.547119373,-2.068826356,-3.468135142,-4.197857977,-2.865433941,-4.557706007,294,832,477,891,306,81,969,569,1283,1104,149,1016,866,991,1374,50,155,1117,535,1194,1337,1270,457,1086,1149,949,1283,1118,1195,1046,-1.726567257,-1.505395294,-1.137756195,-2.510483771,-1.822402492,-2.345607413,-1.37287223,-1.446164794,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.292139175,-2.25623231,-1.613667382,-1.320539874,-1.187246356,-1.046522188,-1.407986066,-0.841742081,-1.1170055,-1.088269678,-1.22923196,-2.068826356,-2.0329023,-1.925582374,-1.535929938,-1.787220046,471,330,469,250,306,81,578,569,437,257,1245,576,949,5,503,632,106,477,511,525,1337,465,466,454,561,949,1221,0,240,868
7,-3.033618527,-3.382358037,-2.842357466,-4.066660563,-3.905815808,-2.741039247,-2.889341968,-3.102398778,-2.229935284,-1.543835604,-3.328270656,-2.839076191,-4.835019794,-1.035634773,-3.341805615,-3.303979315,-2.881286221,-3.706418836,-2.856984334,-2.866279578,-2.255705389,-2.772386532,-4.241319374,-2.57514961,-5.32109943,-4.120575841,-2.439966944,-1.050349859,-3.712068617,-2.091337993,894,1499,1302,726,280,273,365,283,342,181,838,7,221,555,644,562,777,874,1449,1164,223,522,251,1300,1476,879,889,410,753,995,-1.726567257,-1.505395294,-1.137756195,-2.510483771,-1.822402492,-2.345607413,-1.37287223,-1.446164794,-1.167525906,-1.543835604,-1.837470279,-1.622663376,-2.068826356,-1.035634773,-1.292139175,-2.25623231,-1.613667382,-1.320539874,-1.187246356,-1.046522188,-1.407986066,-0.841742081,-1.1170055,-1.088269678,-1.22923196,-2.068826356,-2.0329023,-1.050349859,-1.535929938,-1.787220046,471,330,469,250,306,81,578,569,437,181,1245,576,949,555,503,632,106,477,511,525,1337,465,466,454,561,949,1221,410,240,868
8,-5.425945389,-2.632220347,-2.833422874,-2.952092109,-2.45032114,-2.511808647,-2.546571938,-2.004604151,-2.685182584,-2.763596077,-2.970748855,-5.437293945,-2.41810689,-5.220396692,-2.435386778,-3.709517278,-3.216079525,-2.565554051,-3.078559671,-1.654002838,-3.38735094,-2.747132694,-3.848133088,-1.37287223,-1.747925515,-2.824165562,-1.231739613,-2.548995359,-3.712583133,-2.844166856,1370,655,1095,487,111,1189,939,1306,143,597,890,843,1267,1091,921,441,1288,1021,413,496,179,873,866,578,1284,267,570,232,1136,1190,-1.726567257,-1.505395294,-1.137756195,-2.510483771,-1.822402492,-2.345607413,-1.37287223,-1.446164794,-1.167525906,-1.543835604,-1.837470279,-1.622663376,-2.068826356,-1.035634773,-1.292139175,-2.25623231,-1.613667382,-1.320539874,-1.187246356,-1.046522188,-1.407986066,-0.841742081,-1.1170055,-1.088269678,-1.22923196,-2.068826356,-1.231739613,-1.050349859,-1.535929938,-1.787220046,471,330,469,250,306,81,578,569,437,181,1245,576,949,555,503,632,106,477,511,525,1337,465,466,454,561,949,570,410,240,868
9,-2.111041165,-2.044832056,-2.403631946,-2.73396282,-2.368752899,-2.472349852,-2.647879801,-2.998539766,-1.990355304,-1.564297002,-2.127573991,-2.521570215,-5.378637948,-3.097100348,-1.179571447,-2.526506837,-1.743534192,-3.730346883,-4.138612268,-4.748598656,-2.202169906,-3.449717093,-3.215335703,-2.823488378,-2.745989031,-1.917643495,-2.56033381,-3.834721749,-3.579036847,-2.526147348,98,271,340,1047,279,721,661,1199,541,1321,946,680,506,1244,518,817,289,1317,1348,913,230,72,745,282,723,169,352,752,724,1145,-1.726567257,-1.505395294,-1.137756195,-2.510483771,-1.822402492,-2.345607413,-1.37287223,-1.446164794,-1.167525906,-1.543835604,-1.837470279,-1.622663376,-2.068826356,-1.035634773,-1.179571447,-2.25623231,-1.613667382,-1.320539874,-1.187246356,-1.046522188,-1.407986066,-0.841742081,-1.1170055,-1.088269678,-1.22923196,-1.917643495,-1.231739613,-1.050349859,-1.535929938,-1.787220046,471,330,469,250,306,81,578,569,437,181,1245,576,949,555,518,632,106,477,511,525,1337,465,466,454,561,169,570,410,240,868
