expID,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH
1,165.87,2223.37,-5.9813,10.329,95,18.4,16.4,10.2
2,166.8903697,2218.319819,-11.5167,10.329,95,18.4,16.4,10.2
3,172.5234877,2217.505928,-9.583,10.329,95,18.4,16.4,10.2
4,195.29,2213.36,-34.9056,10.329,95,18.4,16.4,10.2
5,174.6629756,2218.794147,-5.9295,10.329,95,18.4,16.4,10.2
6,166.26,2224.63,-9.891,10.329,95,18.4,16.4,10.2
7,165.4425321,2228.123853,-7.3657,10.329,95,18.4,16.4,10.2
8,184.5942422,2234.942905,-7.6081,10.329,95,18.4,16.4,10.2
9,172.55,2232.06,-76.6378,10.329,95,18.4,16.4,10.2
10,165.5,2225.59,-9.3867,10.329,95,18.4,16.4,10.2
11,174.3600174,2210.257593,8.4693,10.329,95,18.4,16.4,10.2
12,185.3,2206.2,65.5283,10.329,95,18.4,16.4,10.2
13,171.3953578,2213.980043,-31.8604,10.329,95,18.4,16.4,10.2
14,120.02,2219.32,-63.3,10.329,95,18.4,16.4,10.2
15,165.353392,2215.967354,-18.0838,10.329,95,18.4,16.4,10.2
16,165.87,2223.37,-5.9813,6.351,95,18.4,16.4,10.2
17,166.8903697,2218.319819,-11.5167,6.351,95,18.4,16.4,10.2
18,172.5234877,2217.505928,-9.583,6.351,95,18.4,16.4,10.2
19,195.29,2213.36,-34.9056,6.351,95,18.4,16.4,10.2
20,174.6629756,2218.794147,-5.9295,6.351,95,18.4,16.4,10.2
21,166.26,2224.63,-9.891,6.351,95,18.4,16.4,10.2
22,165.4425321,2228.123853,-7.3657,6.351,95,18.4,16.4,10.2
23,184.5942422,2234.942905,-7.6081,6.351,95,18.4,16.4,10.2
24,172.55,2232.06,-76.6378,6.351,95,18.4,16.4,10.2
25,165.5,2225.59,-9.3867,6.351,95,18.4,16.4,10.2
26,174.3600174,2210.257593,8.4693,6.351,95,18.4,16.4,10.2
