seq,time,expID,ligand,base,solvent,objective,
1,58:35.6,1282,7,6,9,-2.355503,
2,58:36.3,1493,8,10,10,-5.495197,
3,58:37.0,897,12,10,6,-5.434688,
4,58:37.8,920,5,2,7,-2.928562,
5,54:47.2,1022,2,9,7,-2.565554,
6,54:47.9,1041,6,10,7,-2.466479,
7,54:48.6,625,10,2,5,-2.836283,
8,54:49.4,375,15,5,3,-4.115194,
9,51:34.7,1491,6,10,10,-3.828561,
10,51:35.5,243,3,7,2,-2.837645,
11,51:36.2,50,5,4,1,-2.541997,
12,51:37.0,431,11,9,3,-4.048592,
13,47:55.3,387,12,6,3,-3.942444,
14,47:56.1,1080,15,2,8,-5.485041,
15,47:56.8,1036,1,10,7,-2.777986,
16,47:57.6,1285,10,6,9,-1.747926,
17,44:23.0,1250,5,4,9,-1.765501,
18,44:23.8,1315,10,8,9,-1.510012,
19,44:24.5,1270,10,5,9,-2.095823,
20,44:25.3,1240,10,3,9,-1.802059,
21,40:40.4,566,11,8,4,-2.388344,
22,40:41.1,1235,5,3,9,-1.36043,
23,40:41.8,1255,10,4,9,-1.668164,
24,40:42.6,1251,6,4,9,-1.605844,
25,37:26.5,1357,7,1,10,-4.168749,
26,37:27.3,1206,6,1,9,-1.593636,
27,37:28.0,1205,5,1,9,-1.980721,
28,37:28.8,1203,3,1,9,-2.046501,
29,33:49.0,1156,1,8,8,-2.581924,
30,33:49.7,1300,10,7,9,-1.984853,
31,33:50.4,1233,3,3,9,-1.515088,
32,33:51.3,1236,6,3,9,-1.533267,
33,30:22.7,561,6,8,4,-0.769774,
34,30:23.5,1232,2,3,9,-1.221064,
35,30:24.2,1318,13,8,9,-3.730347,
36,30:24.9,1265,5,5,9,-1.604853,
37,26:48.9,278,8,9,2,-3.161313,
38,26:49.7,562,7,8,4,-1.229232,
39,26:50.4,565,10,8,4,-1.222263,
40,26:51.1,531,6,6,4,-1.512242,
41,23:32.3,294,9,10,2,-2.349126,
42,23:33.1,560,5,8,4,-1.665461,
43,23:33.8,557,2,8,4,-1.628277,
44,23:34.5,558,3,8,4,-1.659186,
45,20:05.9,139,4,10,1,-3.898661,
46,20:06.7,595,10,10,4,-1.357485,
47,20:07.4,592,7,10,4,-1.883912,
48,20:08.2,591,6,10,4,-1.319928,
49,52:12.0,1044,9,10,7,-2.246758,
50,52:12.7,299,14,10,2,-4.027629,
51,52:13.5,547,7,7,4,-1.888531,
52,52:14.3,599,14,10,4,-3.434479,
53,48:26.6,1314,9,8,9,-1.653127,
54,48:27.4,564,9,8,4,-0.983764,
55,48:28.1,594,9,10,4,-1.394284,
56,48:28.8,590,5,10,4,-1.523575,
57,44:58.0,627,12,2,5,-5.32895,
58,44:58.8,534,9,6,4,-1.209939,
59,44:59.4,519,9,5,4,-1.179571,
60,45:00.2,532,7,6,4,-1.612793,
61,41:05.7,339,9,3,3,-1.102349,
62,41:06.5,556,1,8,4,-1.035635,
63,41:07.2,504,9,4,4,-1.292139,
64,41:07.9,1262,2,5,9,-1.712212,
65,37:33.1,219,9,5,2,-1.893969,
66,37:33.8,309,9,1,3,-2.382449,
67,37:34.5,331,1,3,3,-1.505395,
68,37:35.2,579,9,9,4,-1.372872,
69,33:52.0,344,14,3,3,-1.964904,
70,33:52.8,549,9,7,4,-1.336391,
71,33:53.5,489,9,3,4,-1.528769,
72,33:54.2,1209,9,1,9,-2.947903,
73,30:25.9,569,14,8,4,-2.276675,
74,30:26.6,369,9,5,3,-2.61912,
75,30:27.3,598,13,10,4,-2.763596,
76,30:28.1,1327,7,9,9,-2.490774,
77,26:37.9,421,1,9,3,-0.999222,
78,26:38.7,632,2,3,5,-2.070122,
79,26:39.4,631,1,3,5,-1.778295,
80,26:40.1,633,3,3,5,-2.256232,
81,23:00.4,844,4,7,6,-5.437294,
82,23:01.2,256,1,8,2,-2.028049,
83,23:01.9,691,1,7,5,-2.255538,
84,23:02.7,406,1,8,3,-0.817413,
85,19:16.9,729,9,9,5,-3.854949,
86,19:17.7,391,1,7,3,-1.514273,
87,19:18.4,376,1,6,3,,
88,19:19.1,189,9,3,2,-2.577209,
89,16:09.7,1499,14,10,10,-4.361752,
90,16:10.4,376,1,6,3,-2.507106,
91,16:11.1,496,1,4,4,-1.255674,
92,16:11.9,407,2,8,3,-0.787408,
93,12:31.2,14,14,1,1,,
94,12:32.0,422,2,9,3,-1.461252,
95,12:32.7,302,2,1,3,-1.354622,
96,12:33.4,438,3,10,3,-1.167526,
97,08:10.0,1482,12,9,10,-4.663017,
98,08:10.8,451,1,1,4,-1.097475,
99,08:11.5,437,2,10,3,-2.180035,
100,08:12.2,466,1,2,4,-0.841742,
101,04:22.0,147,12,10,1,-2.492791,
102,04:22.7,408,3,8,3,-0.714916,
103,04:23.4,467,2,2,4,-1.117005,
104,04:24.2,452,2,1,4,-1.394845,
105,00:59.6,334,4,3,3,,
106,01:00.4,410,5,8,3,,
107,01:01.2,301,1,1,3,, 
108,01:02.0,440,5,10,3,,
109,57:23.8,334,4,3,3,,
110,57:24.6,410,5,8,3,-0.809784,
111,57:25.3,301,1,1,3,-1.120604,
112,57:26.0,440,5,10,3,-1.181552,
113,53:56.1,522,12,5,4,-5.559679,
114,53:56.9,439,4,10,3,-4.944765,
115,53:57.6,411,6,8,3,-1.05035,
116,53:58.3,669,9,5,5,-3.972628,
117,50:21.1,1426,1,6,10,-3.385649,
118,50:21.9,441,6,10,3,-1.093984,
119,50:22.6,295,10,10,2,-2.596471,
120,50:23.3,494,14,3,4,,
121,36:59.4,1304,14,7,9,, 
122,37:00.2,541,1,7,4,-1.105919,
123,37:00.9,445,10,10,3,-1.454853,
124,37:01.8,306,6,1,3,-1.458285,
125,33:24.2,434,14,9,3,-2.417517,
126,33:25.0,443,8,10,3,-4.689505,
127,33:25.7,151,1,1,2,-1.775535,
128,33:26.5,442,7,10,3,-3.709517,
129,30:21.1,448,13,10,3,-2.063259,
130,30:21.9,450,15,10,3,,
131,30:22.6,446,11,10,3,-3.850666,
132,30:23.3,601,1,1,5,-1.761253,
133,26:47.8,644,14,3,5,-4.869313,
134,26:48.6,494,14,3,4,-3.500787,
135,26:49.3,471,6,2,4,-0.746918,
136,26:50.0,16,1,2,1,-2.211832,
137,23:27.9,4,4,1,1,,
138,23:28.6,472,7,2,4,-1.726567,
139,23:29.4,1334,14,9,9,-2.474972,
140,23:30.1,456,6,1,4,-1.294785,
141,19:55.6,1414,4,5,10,-3.324821,
142,19:56.4,468,3,2,4,-1.189244,
143,19:57.1,470,5,2,4,-1.137756,
144,19:57.8,563,8,8,4,-3.303979,
145,26:22.6,1238,8,3,9,-2.933348,
146,26:23.4,481,1,3,4,-1.226624,
147,26:24.1,389,14,6,3,-2.121215,
148,26:24.8,511,1,5,4,-0.855586,
149,22:37.1,1234,4,3,9,-3.93488,
150,22:37.9,426,6,9,3,-1.392533,
151,22:38.6,526,1,6,4,-1.046522,
152,22:39.4,570,15,8,4,-1.446165,
153,19:09.0,1020,15,8,7,-3.666706,
154,19:09.8,463,13,1,4,-1.541177,
155,19:10.4,478,13,2,4,,
156,19:11.2,512,2,5,4,-1.187246,
157,15:25.0,854,14,7,6,-3.928848,
158,15:25.7,527,2,6,4,-1.57366,
159,15:26.4,480,15,2,4,-3.858234,
160,15:27.3,478,13,2,4,-1.32054,
161,11:51.2,931,1,3,7,-2.012576,
162,11:51.9,508,13,4,4,-2.950303,
163,11:52.7,568,13,8,4,-2.217195,
164,11:53.4,538,13,6,4,-2.83435,
165,08:07.0,803,8,4,6,-2.50744,
166,08:07.7,415,10,8,3,-2.256579,
167,08:08.4,758,8,1,6,-2.842459,
168,08:09.1,474,9,2,4,-1.523758,
169,04:32.0,1027,7,9,7,-5.019939,
170,04:32.7,571,1,9,4,-1.23174,
171,04:33.4,576,6,9,4,-1.187107,
172,04:34.2,116,11,8,1,-4.040121,
173,00:56.6,19,4,2,1,,
174,00:57.4,169,4,2,2,-4.028494,
175,00:58.1,516,6,5,4,-0.880817,
176,00:58.9,546,6,7,4,-1.741848,
177,57:22.6,123,3,9,1,-2.032532,
178,57:23.4,486,6,3,4,-2.045066,
179,57:24.1,1082,2,3,8,-5.352917,
180,57:24.9,1066,1,2,8,-4.309943,
181,53:33.2,939,9,3,7,-2.886804,
182,53:34.0,1006,1,8,7,,
183,53:34.6,1007,2,8,7,-2.961094,
184,53:35.4,1008,3,8,7,-4.091995,
185,50:02.9,1171,1,9,8,-3.657507,
186,50:03.6,1231,1,3,9,-0.977803,
187,50:04.3,572,2,9,4,-1.289711,
188,50:05.1,279,9,9,2,-2.853519,
189,46:25.9,1242,12,3,9,-5.445098,
190,46:26.6,1344,9,10,9,-3.48169,
191,46:27.3,1336,1,10,9,-1.068086,
192,46:28.1,584,14,9,4,-4.137481,
