expID,ligand,base,solvent,notation
1,1,1,1,Ar-H_Na2CO3_DMSO
2,2,1,1,Ar-OMe_Na2CO3_DMSO
3,3,1,1,Ar-Me2OMe_Na2CO3_DMSO
4,4,1,1,Ar-Me3_Na2CO3_DMSO
5,5,1,1,Ar-Me2_Na2CO3_DMSO
6,6,1,1,Ar-F_Na2CO3_DMSO
7,7,1,1,Ar-CF3_Na2CO3_DMSO
8,8,1,1,Ar-CF32_Na2CO3_DMSO
9,9,1,1,Ar-F5_Na2CO3_DMSO
10,10,1,1,Ar-Cl_Na2CO3_DMSO
11,11,1,1,Ak-Cy_Na2CO3_DMSO
12,12,1,1,Ak-tBu_Na2CO3_DMSO
13,13,1,1,Ak-nBu_Na2CO3_DMSO
14,14,1,1,Ak-Me_Na2CO3_DMSO
15,15,1,1,Ak-Et_Na2CO3_DMSO
16,1,2,1,Ar-H_NaHCO3_DMSO
17,2,2,1,Ar-OMe_NaHCO3_DMSO
18,3,2,1,Ar-Me2OMe_NaHCO3_DMSO
19,4,2,1,Ar-Me3_NaHCO3_DMSO
20,5,2,1,Ar-Me2_NaHCO3_DMSO
21,6,2,1,Ar-F_NaHCO3_DMSO
22,7,2,1,Ar-CF3_NaHCO3_DMSO
23,8,2,1,Ar-CF32_NaHCO3_DMSO
24,9,2,1,Ar-F5_NaHCO3_DMSO
25,10,2,1,Ar-Cl_NaHCO3_DMSO
26,11,2,1,Ak-Cy_NaHCO3_DMSO
27,12,2,1,Ak-tBu_NaHCO3_DMSO
28,13,2,1,Ak-nBu_NaHCO3_DMSO
29,14,2,1,Ak-Me_NaHCO3_DMSO
30,15,2,1,Ak-Et_NaHCO3_DMSO
31,1,3,1,Ar-H_NaOH_DMSO
32,2,3,1,Ar-OMe_NaOH_DMSO
33,3,3,1,Ar-Me2OMe_NaOH_DMSO
34,4,3,1,Ar-Me3_NaOH_DMSO
35,5,3,1,Ar-Me2_NaOH_DMSO
36,6,3,1,Ar-F_NaOH_DMSO
37,7,3,1,Ar-CF3_NaOH_DMSO
38,8,3,1,Ar-CF32_NaOH_DMSO
39,9,3,1,Ar-F5_NaOH_DMSO
40,10,3,1,Ar-Cl_NaOH_DMSO
41,11,3,1,Ak-Cy_NaOH_DMSO
42,12,3,1,Ak-tBu_NaOH_DMSO
43,13,3,1,Ak-nBu_NaOH_DMSO
44,14,3,1,Ak-Me_NaOH_DMSO
45,15,3,1,Ak-Et_NaOH_DMSO
46,1,4,1,Ar-H_K2CO3_DMSO
47,2,4,1,Ar-OMe_K2CO3_DMSO
48,3,4,1,Ar-Me2OMe_K2CO3_DMSO
49,4,4,1,Ar-Me3_K2CO3_DMSO
50,5,4,1,Ar-Me2_K2CO3_DMSO
51,6,4,1,Ar-F_K2CO3_DMSO
52,7,4,1,Ar-CF3_K2CO3_DMSO
53,8,4,1,Ar-CF32_K2CO3_DMSO
54,9,4,1,Ar-F5_K2CO3_DMSO
55,10,4,1,Ar-Cl_K2CO3_DMSO
56,11,4,1,Ak-Cy_K2CO3_DMSO
57,12,4,1,Ak-tBu_K2CO3_DMSO
58,13,4,1,Ak-nBu_K2CO3_DMSO
59,14,4,1,Ak-Me_K2CO3_DMSO
60,15,4,1,Ak-Et_K2CO3_DMSO
61,1,5,1,Ar-H_KOH_DMSO
62,2,5,1,Ar-OMe_KOH_DMSO
63,3,5,1,Ar-Me2OMe_KOH_DMSO
